"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.01.2024","3.162,41","3.176,59","3.183,70","3.152,96","","-0,42%"
"23.01.2024","3.175,74","3.176,19","3.179,75","3.166,66","","0,11%"
"22.01.2024","3.172,15","3.161,44","3.179,11","3.157,37","","0,18%"
"19.01.2024","3.166,37","3.176,13","3.179,21","3.154,46","","-0,39%"
"18.01.2024","3.178,85","3.188,71","3.193,54","3.176,72","","-0,20%"
"17.01.2024","3.185,23","3.174,87","3.189,26","3.169,99","","0,18%"
"16.01.2024","3.179,45","3.186,77","3.187,14","3.162,98","","-0,17%"
"15.01.2024","3.184,88","3.190,62","3.200,78","3.176,73","","-0,01%"
"12.01.2024","3.185,22","3.182,50","3.196,98","3.176,09","","0,12%"
"11.01.2024","3.181,25","3.158,30","3.181,25","3.148,50","","0,52%"
"10.01.2024","3.164,70","3.158,35","3.174,28","3.156,44","","0,29%"
"09.01.2024","3.155,55","3.156,17","3.158,72","3.143,03","","-0,10%"
"08.01.2024","3.158,58","3.140,12","3.158,82","3.139,37","","0,71%"
"05.01.2024","3.136,37","3.138,27","3.142,80","3.128,16","","0,01%"
"04.01.2024","3.136,07","3.140,66","3.144,25","3.133,93","","0,19%"
"03.01.2024","3.130,23","3.099,78","3.132,76","3.099,10","","1,00%"
"29.12.2023","3.099,11","3.092,66","3.102,08","3.086,26","","-0,09%"
"28.12.2023","3.101,99","3.099,56","3.101,99","3.081,98","","0,15%"
"27.12.2023","3.097,49","3.100,99","3.112,19","3.097,31","","0,09%"
"26.12.2023","3.094,72","3.090,39","3.098,69","3.080,92","","-0,14%"
"25.12.2023","3.099,02","3.095,42","3.108,14","3.086,89","","0,21%"
"22.12.2023","3.092,58","3.076,31","3.102,75","3.075,56","","0,62%"
"21.12.2023","3.073,57","3.093,46","3.095,01","3.050,00","","-1,00%"
"20.12.2023","3.104,66","3.091,35","3.113,92","3.088,74","","0,68%"
"19.12.2023","3.083,64","3.084,12","3.091,26","3.066,34","","0,24%"
"18.12.2023","3.076,26","3.052,14","3.090,04","3.048,82","","1,40%"
"15.12.2023","3.033,89","2.959,29","3.037,29","2.959,29","","0,83%"
"14.12.2023","3.008,84","3.046,43","3.057,08","3.005,94","","-0,77%"
"13.12.2023","3.032,22","3.011,99","3.043,42","3.002,38","","0,41%"
"12.12.2023","3.019,89","3.020,61","3.046,81","2.992,50","","-0,21%"
"11.12.2023","3.026,17","3.081,88","3.082,30","3.025,74","","-1,75%"
"08.12.2023","3.079,99","3.079,88","3.100,22","3.067,46","","0,21%"
"07.12.2023","3.073,63","3.065,93","3.084,50","3.041,11","","-0,19%"
"06.12.2023","3.079,50","3.139,89","3.146,52","3.077,94","","-1,59%"
"05.12.2023","3.129,33","3.102,30","3.134,57","3.090,31","","0,48%"
"04.12.2023","3.114,41","3.123,18","3.126,55","3.096,28","","-0,89%"
"01.12.2023","3.142,29","3.155,87","3.162,97","3.136,56","","-0,74%"
"30.11.2023","3.165,79","3.176,50","3.176,53","3.146,53","","-0,24%"
"29.11.2023","3.173,52","3.196,75","3.200,33","3.173,37","","-0,71%"
"28.11.2023","3.196,36","3.189,16","3.197,61","3.157,55","","0,17%"
"27.11.2023","3.191,05","3.220,25","3.224,61","3.178,20","","-0,83%"
"24.11.2023","3.217,76","3.223,75","3.231,77","3.203,62","","-0,10%"
"23.11.2023","3.221,05","3.233,09","3.238,81","3.218,72","","-0,30%"
"22.11.2023","3.230,65","3.221,90","3.239,17","3.220,37","","0,38%"
"21.11.2023","3.218,48","3.198,73","3.219,11","3.193,46","","0,35%"
"20.11.2023","3.207,36","3.205,73","3.216,73","3.194,40","","0,03%"
"17.11.2023","3.206,34","3.172,78","3.208,17","3.151,95","","0,54%"
"16.11.2023","3.189,08","3.209,33","3.215,93","3.184,97","","-0,81%"
"15.11.2023","3.215,11","3.195,43","3.221,22","3.182,78","","0,08%"
"14.11.2023","3.212,39","3.236,48","3.236,48","3.192,32","","-1,10%"
"13.11.2023","3.248,27","3.241,31","3.251,74","3.235,06","","0,19%"
"10.11.2023","3.242,06","3.236,03","3.246,31","3.229,10","","0,07%"
